"id"	"structure"	"dispo_id"	"season"	"season_year"	"dispo_type"	"site_code"	"lon"	"lat"	"local"	"campaign_start"	"campaign.end"	"campaign_duration"	"trap_night"	"trap_cat"
"502"	502	"PNRun OUEST"	"932-CCMR03-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	331136.231	7669983.36	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	15.5	0
"503"	503	"PNRun OUEST"	"933-CCMR04-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330867.506	7669268.36	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	12	0
"504"	504	"PNRun OUEST"	"933-CCMR04-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330867.506	7669268.36	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	15	3
"505"	505	"PNRun OUEST"	"934-CCMR05-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330404.713	7669412.77	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	9.5	1
"506"	506	"PNRun OUEST"	"934-CCMR05-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330404.713	7669412.77	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	14	0
"507"	507	"PNRun OUEST"	"935-CCMR06-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330635.012	7669036.58	"Piste forestiere Maido"	"11/07/2016"	"24/10/2016"	105	11	0
"508"	508	"PNRun OUEST"	"936-CCMR07-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330737.892	7668030.97	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	14	1
"509"	509	"PNRun OUEST"	"936-CCMR07-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330737.892	7668030.97	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	14.5	5
"510"	510	"PNRun OUEST"	"937-CCMR08-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330668.259	7667098.23	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	8.5	1
"511"	511	"PNRun OUEST"	"937-CCMR08-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330668.259	7667098.23	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	14	2
"512"	512	"PNRun OUEST"	"938-CCMR09-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330593.119	7666207.17	"Piste forestiere Maido"	"11/07/2016"	"27/07/2016"	16	3	0
"513"	513	"PNRun OUEST"	"939-CCMR10-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329721.983	7665128.89	"Piste forestiere Maido"	"03/11/2016"	"16/11/2016"	13	1	0
"514"	514	"PNRun OUEST"	"939-CCMR10-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	329721.983	7665128.89	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	11.5	1
"515"	515	"PNRun OUEST"	"940-CCMR11-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	329703.893	7665936.62	"Piste forestiere Maido"	"11/07/2016"	"24/10/2016"	105	7	0
"516"	516	"PNRun OUEST"	"943-CCMR13-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329454.482	7666797	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	8	3
"517"	517	"PNRun OUEST"	"943-CCMR13-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	329454.482	7666797	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	10	1
"518"	518	"PNRun OUEST"	"944-CCMR14-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329616.007	7667154.96	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	10	1
"519"	519	"PNRun OUEST"	"944-CCMR14-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	329616.007	7667154.96	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	10	1
"520"	520	"PNRun OUEST"	"947-CCMR16-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329535.207	7668169.31	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	7.5	0
"521"	521	"PNRun OUEST"	"947-CCMR16-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	329535.207	7668169.31	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	12	0
"522"	522	"PNRun OUEST"	"950-CCMR18-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329736.695	7669038.43	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	10	1
"523"	523	"PNRun OUEST"	"950-CCMR18-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	329736.695	7669038.43	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	11	0
"524"	524	"PNRun OUEST"	"951-CCMR19-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330107.956	7669802.89	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	6	0
